,authors,fruit,image,painting_index,subjects,thumbnail_image,year
0,"Schutt, Ellen Isham, 1873-1955
",Acca sellowiana,https://naldc.nal.usda.gov/download/POM00007435/screen,1,"Acca sellowiana , Acca",https://naldc.nal.usda.gov/download/POM00007435/thumbnail,1909
0,"Schutt, Ellen Isham, 1873-1955
",Acca sellowiana,https://naldc.nal.usda.gov/download/POM00007436/screen,2,"Acca sellowiana , Acca",https://naldc.nal.usda.gov/download/POM00007436/thumbnail,1909
0,"Steadman, Royal Charles, b. 1875
",Acca sellowiana,https://naldc.nal.usda.gov/download/POM00007437/screen,3,"Acca sellowiana , Acca",https://naldc.nal.usda.gov/download/POM00007437/thumbnail,1919
0,"Newton, Amanda Almira, ca. 1860-1943
",Acca sellowiana,https://naldc.nal.usda.gov/download/POM00007438/screen,4,"Acca sellowiana , Acca",https://naldc.nal.usda.gov/download/POM00007438/thumbnail,1909
0,"Newton, Amanda Almira, ca. 1860-1943
",Actinidia deliciosa,https://naldc.nal.usda.gov/download/POM00007367/screen,5,"Actinidia deliciosa , kiwifruit",https://naldc.nal.usda.gov/download/POM00007367/thumbnail,1908
0,"Newton, Amanda Almira, ca. 1860-1943
",Adansonia digitata,https://naldc.nal.usda.gov/download/POM00000122/screen,6,"Adansonia digitata , baobab",https://naldc.nal.usda.gov/download/POM00000122/thumbnail,1924
0,"Newton, Amanda Almira, ca. 1860-1943
",Adansonia digitata,https://naldc.nal.usda.gov/download/POM00000858/screen,7,"Adansonia digitata , baobab",https://naldc.nal.usda.gov/download/POM00000858/thumbnail,1924
0,"Schutt, Ellen Isham, 1873-1955
",Aegle marmelos,https://naldc.nal.usda.gov/download/POM00000120/screen,8,"Aegle marmelos , bael",https://naldc.nal.usda.gov/download/POM00000120/thumbnail,1909
0,"Schutt, Ellen Isham, 1873-1955
",Aegle marmelos,https://naldc.nal.usda.gov/download/POM00000121/screen,9,"Aegle marmelos , bael",https://naldc.nal.usda.gov/download/POM00000121/thumbnail,1909
0,"Schutt, Ellen Isham, 1873-1955
",Aegle marmelos,https://naldc.nal.usda.gov/download/POM00000854/screen,10,"Aegle marmelos , bael",https://naldc.nal.usda.gov/download/POM00000854/thumbnail,1909
0,"Schutt, Ellen Isham, 1873-1955
",Aegle marmelos,https://naldc.nal.usda.gov/download/POM00001016/screen,11,"Aegle marmelos , bael",https://naldc.nal.usda.gov/download/POM00001016/thumbnail,1909
